order_date,orders,revenue,items_sold,aov,revenue_wow_growth,revenue_mom_growth
2019-01-12,1,449.95999145507812,2,449.95999145507812,,
2019-01-19,1,16.979999542236328,1,16.979999542236328,,
2019-01-26,2,180.98999977111816,5,90.494999885559082,,
2019-01-31,1,13.989999771118164,1,13.989999771118164,,
2019-02-01,1,55.0,1,55.0,,
2019-02-02,1,24.5,1,24.5,,
2019-02-03,2,287.98000526428223,3,143.99000263214111,,
2019-02-05,1,19.989999771118164,1,19.989999771118164,-0.95557382844978145,
2019-02-06,1,89.5,1,89.5,4.2709070914505176,
2019-02-09,1,100.0,1,100.0,-0.44748328567069429,
2019-02-10,1,58.05000114440918,2,58.05000114440918,3.1493925728470171,
2019-02-18,1,13.729999542236328,1,13.729999542236328,-0.75036364468661221,
2019-02-19,1,84.340000152587891,3,84.340000152587891,2.4424489858199139,
2019-02-20,2,213.90000152587891,3,106.95000076293945,-0.2572400943962041,
2019-02-22,1,65.0,1,65.0,2.251625850136973,
2019-02-25,1,59.9900016784668,1,59.9900016784668,-0.32972065163724251,
2019-03-02,2,117.0,2,58.5,0.17,
2019-03-04,2,89.989999771118164,2,44.994999885559082,0.55021529710659,
2019-03-06,1,37.200000762939446,1,37.200000762939446,1.70939563024052,
2019-03-09,1,116.90999984741211,3,116.90999984741211,0.38617500161131835,
2019-03-10,1,46.959999084472656,1,46.959999084472656,-0.78045816386405609,
2019-03-12,1,287.88999938964844,2,287.88999938964844,3.4290769136868988,
2019-03-13,1,21.989999771118164,1,21.989999771118164,-0.63343892055579987,
2019-03-14,1,89.340000152587891,3,89.340000152587891,-0.2364102551060864,
2019-03-15,3,150.0,3,50.0,0.66685187666976464,
2019-03-16,1,17.989999771118164,1,17.989999771118164,-0.51639786553335965,
2019-03-17,3,533.84000205993652,6,177.94666735331217,3.56624756442298,
2019-03-18,2,159.98999977111816,2,79.994999885559082,2.4069421399119859,
2019-03-20,1,91.25,3,91.25,-0.6830386599275492,
2019-03-21,1,44.5,1,44.5,1.0236471333868153,
2019-03-22,4,223.54000377655029,5,55.885000944137573,1.5021267449603319,-0.50320026664222328
2019-03-23,1,30.0,1,30.0,-0.8,0.76678449992754771
2019-03-24,2,285.19000053405762,6,142.59500026702881,14.85269617356597,0.57572242054650458
2019-03-25,1,39.9900016784668,1,39.9900016784668,-0.92508991172606625,1.8584705026961239
2019-03-26,1,54.0,1,54.0,-0.66247890444870028,-0.018181818181818181
2019-03-28,1,148.0,1,148.0,0.62191780821917808,5.0408163265306118
2019-03-31,1,45.080001831054688,1,45.080001831054688,0.013033749012464887,-0.84346134798600236
2019-04-01,1,15.239999771118164,1,15.239999771118164,-0.93182428418337149,-0.23761881212539421
2019-04-02,2,92.939998626708984,2,46.469999313354492,2.0979999542236327,0.038435738845910443
2019-04-03,2,306.48999786376953,3,153.24499893188477,0.074687041235052876,2.0648999786376954
2019-04-04,1,77.5,2,77.5,0.93798441478263328,0.33505595989921971
2019-04-05,1,171.98999977111816,2,171.98999977111816,2.1849999957614474,11.526584523330918
2019-04-06,1,19.0,1,19.0,-0.8716216216216216,-0.77472136630750288
2019-04-07,2,132.89000129699707,4,66.445000648498535,1.9478703615635586,-0.3787283761149518
2019-04-09,2,319.95000076293945,5,159.97500038146973,19.99409485355029,3.9223077040452226
2019-04-11,3,312.61999988555908,6,104.2066666285197,2.3636755380338332,4.2112017192653779
2019-04-13,5,379.40999603271484,7,75.881999206542972,0.23791966679890553,2.2428204789120927
2019-04-14,1,88.0,1,88.0,0.13548387096774195,-0.022113565687071426
2019-04-15,2,217.63999938964844,2,108.81999969482422,0.26542240641479531,4.8505374980118976
2019-04-16,1,329.77000522613525,3,329.77000522613525,16.356316064533434,1.8207168390774313
2019-04-17,2,256.0,3,128.0,0.92640527881298818,4.451448147166734
2019-04-18,4,299.96999549865723,4,74.9924988746643,-0.062447273688509886,0.041960457586645662
2019-04-19,1,168.60000228881836,3,168.60000228881836,-0.46068708863624264,6.6671216027141078
2019-04-22,4,121.80000114440918,4,30.450000286102295,-0.67897524467461079,0.36333110517552453
2019-04-23,2,107.98999977111816,2,53.994999885559082,0.22715908830816095,-0.28006666819254555
2019-04-24,3,221.0,3,73.666666666666671,0.015438341388413795,11.284602713269729
2019-04-25,1,24.989999771118164,1,24.989999771118164,-0.92421991274196813,-0.95318822179924911
2019-04-27,2,152.9900016784668,3,76.4950008392334,-0.40238280594348907,-0.043752722686827741
2019-04-28,1,180.5,2,180.5,-0.39827315161989935,0.9780821917808219
2019-04-29,2,155.4900016784668,3,77.7450008392334,-0.07775800968195494,2.4941573410891413
2019-04-30,3,267.939998626709,4,89.313332875569657,1.1998357644433231,0.19862214413551121
2019-05-01,1,13.5,1,13.5,-0.87498842458919457,-0.55
2019-05-02,3,121.9900016784668,3,40.663333892822266,-0.44800904217888327,-0.57225007381035908
2019-05-03,2,91.149997711181641,2,45.57499885559082,2.647458925410914,1.2793196770547448
2019-05-04,3,485.86999797821045,9,161.95666599273682,2.1758284374644608,7.9975925551520453
2019-05-05,1,34.9900016784668,1,34.9900016784668,-0.80614957518854957,-0.76358106974008921
2019-05-07,1,243.97999572753906,2,243.97999572753906,0.56910407803620788,4.4121558522090885
2019-05-08,2,200.0,2,100.0,-0.25356422697218206,12.123359777145582
2019-05-09,2,426.16999244689941,5,213.08499622344971,30.568147588659215,3.5854314476439768
2019-05-10,1,29.930000305175781,1,29.930000305175781,-0.75465202153154076,-0.90234591499302619
2019-05-11,5,615.21999740600586,8,123.04399948120117,5.7495338766260327,6.9383225471742689
2019-05-12,2,132.93999862670898,2,66.469999313354492,-0.72638771856691,-0.22704809114702229
2019-05-13,3,167.5,4,55.833333333333336,3.787081793799433,7.8157894736842106
2019-05-14,2,125.88000106811523,4,62.940000534057617,-0.48405605675684243,-0.052750396271086811
2019-05-16,1,17.950000762939453,1,17.950000762939453,-0.91024999618530278,-0.94389748173109356
2019-05-17,1,118.0,1,118.0,-0.72311518386714491,-0.622544942603812
2019-05-18,2,448.92000007629395,5,224.46000003814697,13.998997510824028,0.18320551585463649
2019-05-19,3,284.54000091552734,5,94.846666971842453,-0.53749877748569164,2.2334091013128106
2019-05-20,3,47.739999771118164,3,15.913333257039389,-0.64089062536272123,-0.78064694033725124
2019-05-21,1,207.0,1,207.0,0.23582089552238805,-0.37228978767170595
2019-05-22,1,183.48999786376953,3,183.48999786376953,0.45765805772817569,-0.28324219584465027
2019-05-23,1,192.9900016784668,3,192.9900016784668,9.7515316699553818,-0.35663564831659744
2019-05-24,3,91.9000015258789,3,30.633333841959637,-0.22118642774678893,-0.45492289277404263
2019-05-25,3,338.69999885559082,5,112.89999961853027,-0.24552259022091072,1.7807881418163494
2019-05-26,2,223.9900016784668,2,111.9950008392334,-0.21279960301622511,1.074173554525488
2019-05-27,4,521.2600040435791,6,130.31500101089478,9.9187265719035871,1.3586425522333896
2019-05-28,4,423.42999839782715,8,105.85749959945679,1.04555554781559,15.94397768211268
2019-05-29,2,273.6400032043457,4,136.82000160217285,0.49130746302317369,0.78861363619986335
2019-05-30,5,378.19999694824219,7,75.639999389648438,0.95968699755931719,1.0952908418185163
2019-05-31,3,281.81000328063965,5,93.936667760213211,2.0664852949026598,0.8123995127570085
2019-06-01,2,56.470001220703125,3,28.235000610351562,-0.83327427985974145,-0.78924385492971316
2019-06-03,4,200.49000358581543,7,50.122500896453857,-0.10491538870732788,13.851111376727069
2019-06-04,3,174.29000091552734,4,58.096666971842446,-0.66563711091680822,0.42872365372130611
2019-06-05,3,190.94000244140625,3,63.64666748046875,-0.54906359217843725,1.0947888890400166
2019-06-06,1,25.0,1,25.0,-0.90863908892249645,-0.94854590712736053
2019-06-07,2,107.94000244140625,3,53.970001220703125,-0.71459544338341663,2.0848813164771474
2019-06-08,1,31.969999313354489,1,31.969999313354489,-0.88655477470216959,-0.86896466975490683
2019-06-09,5,629.15000009536743,10,125.83000001907348,10.141313732869328,2.1457500004768373
2019-06-10,1,167.94999694824219,2,167.94999694824219,-0.16230238942384573,-0.605908440470105
2019-06-11,3,582.13999938964844,6,194.04666646321616,2.3400653871807173,18.450049898228009
